Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;15374;10718;25;5
Rust(Stadt);102;2021;1331;5;0
Eisenstadt-Umgebung;103;44488;30236;78;1
Güssing;104;25809;16955;101;5
Jennersdorf;105;17216;10107;44;3
Mattersburg;106;40731;27025;88;3
Neusiedl am See;107;61358;42823;85;16
Oberpullendorf;108;37556;25188;68;1
Oberwart;109;54682;34763;145;4
Klagenfurt Stadt;201;103297;59520;304;3
Villach Stadt;202;64125;35840;174;2
Hermagor;203;18069;10717;66;0
Klagenfurt Land;204;61114;36075;127;2
Sankt Veit an der Glan;205;53953;33120;167;2
Spittal an der Drau;206;75725;44668;275;1
Villach Land;207;65635;38665;204;4
Völkermarkt;208;41947;26666;121;2
Wolfsberg;209;52352;30396;203;3
Feldkirchen;210;29949;17395;83;2
Krems an der Donau(Stadt);301;24930;15897;75;4
Sankt Pölten(Stadt);302;56697;38057;146;7
Waidhofen an der Ybbs(Stadt);303;11187;8145;59;3
Wiener Neustadt(Stadt);304;47407;31191;224;5
Amstetten;305;117442;90230;309;9
Baden;306;148765;100118;364;22
Bruck an der Leitha;307;107297;74352;220;28
Gänserndorf;308;107504;71125;305;20
Gmünd;309;36152;23183;158;0
Hollabrunn;310;51879;32933;116;2
Horn;311;30875;19224;60;0
Korneuburg;312;92442;63588;146;16
Krems(Land);313;56840;38916;163;3
Lilienfeld;314;25491;17790;111;1
Melk;315;78779;59601;513;11
Mistelbach;316;76641;50272;107;6
Mödling;317;120412;81891;309;31
Neunkirchen;318;87048;57825;251;6
Sankt Pölten(Land);319;133497;95343;336;17
Scheibbs;320;41711;31563;98;4
Tulln;321;107723;72118;214;17
Waidhofen an der Thaya;322;25644;17117;80;2
Wiener Neustadt(Land);323;80020;54218;219;8
Zwettl;325;41757;30286;84;3
Linz(Stadt);401;208445;127365;474;23
Steyr(Stadt);402;37915;23399;84;2
Wels(Stadt);403;63542;40444;165;3
Braunau am Inn;404;108388;77215;270;4
Eferding;405;33715;23395;81;1
Freistadt;406;67638;48571;202;2
Gmunden;407;102765;71178;256;9
Grieskirchen;408;65929;47918;158;2
Kirchdorf an der Krems;409;57882;39584;167;6
Linz-Land;410;154320;101322;296;17
Perg;411;69905;50808;155;8
Ried im Innkreis;412;62535;44985;170;0
Rohrbach;413;57034;40801;165;1
Schärding;414;57750;39941;156;1
Steyr-Land;415;61494;43503;158;4
Urfahr-Umgebung;416;87466;62789;161;7
Vöcklabruck;417;139989;100358;340;1
Wels-Land;418;75514;54566;123;5
Salzburg(Stadt);501;155743;103708;344;15
Hallein;502;61262;46005;148;3
Salzburg-Umgebung;503;155982;117709;318;9
Sankt Johann im Pongau;504;81962;57559;184;1
Tamsweg;505;20327;13948;68;0
Zell am See;506;89017;56720;202;6
Graz(Stadt);601;293929;174022;610;32
Deutschlandsberg;603;61092;36445;184;3
Graz-Umgebung;606;161131;100043;441;10
Leibnitz;610;86399;53527;195;6
Leoben;611;59341;31793;197;4
Liezen;612;79739;46839;229;3
Murau;614;27343;15174;60;2
Voitsberg;616;51165;28383;191;1
Weiz;617;91844;56873;260;6
Murtal;620;71398;39342;294;2
Bruck-Mürzzuschlag;621;98394;51872;359;3
Hartberg-Fürstenfeld;622;91091;55198;312;4
Südoststeiermark;623;84024;50506;296;5
Innsbruck-Stadt;701;130599;86618;261;14
Imst;702;61843;43195;103;0
Innsbruck-Land;703;183827;126205;292;19
Kitzbühel;704;65482;42046;102;1
Kufstein;705;112301;75626;256;1
Landeck;706;44681;32292;93;0
Lienz;707;48854;33990;148;0
Reutte;708;33427;21724;34;7
Schwaz;709;85478;54247;222;3
Bludenz;801;64943;43384;99;1
Bregenz;802;136369;86155;243;2
Dornbirn;803;91344;59568;171;1
Feldkirch;804;110547;72769;179;1
Wien;900;1951354;1421124;4817;507
